date,lga_name,average_historical_occupancy,average_daily_rate
2023-02-18,Whitsunday,0.638,339.5734
2023-02-18,Gold Coast,0.7112,315.3925
2023-02-19,Whitsunday,0.5424,338.2257
2023-02-19,Cairns,0.528,213.1799
2023-02-19,Noosa,0.5791,330.8116
2023-02-19,Gold Coast,0.613,279.1495
2023-02-20,Cairns,0.498,210.9428
2023-02-20,Gold Coast,0.5897,276.7647
2023-02-20,Whitsunday,0.5096,336.6586
2023-02-20,Noosa,0.5462,328.3199
2023-02-21,Noosa,0.5449,326.5671
2023-02-21,Gold Coast,0.5872,275.9518
2023-02-21,Whitsunday,0.5205,334.5066
2023-02-21,Cairns,0.5017,211.4157
2023-02-22,Cairns,0.4917,208.3365
2023-02-22,Noosa,0.5312,327.1185
2023-02-22,Gold Coast,0.5852,276.6731
2023-02-22,Whitsunday,0.529,334.7671
2023-02-23,Cairns,0.5334,217.5001
2023-02-23,Whitsunday,0.5784,340.4028
2023-02-23,Gold Coast,0.6267,283.3434
2023-02-23,Noosa,0.6222,335.3218
2023-02-24,Whitsunday,0.6207,348.0892
2023-02-24,Noosa,0.6275,351.1025
2023-02-24,Cairns,0.5121,221.36
2023-02-24,Gold Coast,0.6629,319.1458
2023-02-25,Cairns,0.5532,224.9966
2023-02-25,Whitsunday,0.627,349.1897
2023-02-25,Noosa,0.7102,352.9846
2023-02-25,Gold Coast,0.7116,324.1092
2023-02-26,Noosa,0.5584,334.6732
2023-02-26,Gold Coast,0.5987,283.6305
2023-02-26,Whitsunday,0.5319,342.8755
2023-02-26,Cairns,0.5053,218.9067
2023-02-27,Cairns,0.4912,211.7345
2023-02-27,Noosa,0.5041,334.9224
2023-02-27,Whitsunday,0.5116,349.3483
2023-02-27,Gold Coast,0.6139,279.332
2023-02-28,Noosa,0.5045,332.1227
2023-02-28,Cairns,0.4946,213.001
2023-02-28,Whitsunday,0.5038,341.4415
2023-02-28,Gold Coast,0.6547,285.2743
2023-03-01,Cairns,0.4862,212.6306
2023-03-01,Gold Coast,0.5722,282.8221
2023-03-01,Noosa,0.4933,326.1064
2023-03-01,Whitsunday,0.4933,351.2558
2023-03-02,Whitsunday,0.5429,349.2802
2023-03-02,Gold Coast,0.5644,284.2151
2023-03-02,Noosa,0.528,331.0152
2023-03-02,Cairns,0.5043,218.5524
2023-03-03,Gold Coast,0.6235,315.052
2023-03-03,Whitsunday,0.5763,343.5207
2023-03-03,Noosa,0.6063,343.2149
2023-03-03,Cairns,0.5215,222.8482
2023-03-04,Gold Coast,0.6525,317.1811
2023-03-04,Whitsunday,0.6082,354.9299
2023-03-04,Noosa,0.6162,337.814
2023-03-04,Cairns,0.5379,219.0778
2023-03-05,Cairns,0.5285,217.4426
2023-03-05,Gold Coast,0.5755,280.8451
2023-03-05,Noosa,0.5444,328.6128
2023-03-05,Whitsunday,0.5754,345.9102
2023-03-06,Cairns,0.4953,216.8087
2023-03-06,Noosa,0.5,325.5184
2023-03-06,Gold Coast,0.5366,277.8226
2023-03-06,Whitsunday,0.5151,344.0948
2023-03-07,Cairns,0.5043,217.4517
2023-03-07,Gold Coast,0.5285,281.5584
2023-03-07,Whitsunday,0.5056,351.0753
2023-03-07,Noosa,0.5034,331.9215
2023-03-08,Noosa,0.5152,332.6883
2023-03-08,Gold Coast,0.5472,281.5218
2023-03-08,Cairns,0.5061,214.7045
2023-03-08,Whitsunday,0.5056,350.2717
2023-03-09,Cairns,0.521,222.7556
2023-03-09,Noosa,0.5724,340.377
2023-03-09,Whitsunday,0.5657,359.961
2023-03-09,Gold Coast,0.5932,285.6238
2023-03-10,Gold Coast,0.6605,321.5302
2023-03-10,Whitsunday,0.6379,363.5796
2023-03-10,Cairns,0.5576,228.9069
2023-03-10,Noosa,0.6314,353.5206
2023-03-11,Gold Coast,0.6815,328.6916
2023-03-11,Whitsunday,0.6677,360.138
2023-03-11,Cairns,0.5625,226.1401
2023-03-11,Noosa,0.6486,355.563
2023-03-12,Noosa,0.5581,337.9633
2023-03-12,Gold Coast,0.6,287.945
2023-03-12,Cairns,0.5507,218.433
2023-03-12,Whitsunday,0.5993,367.3501
2023-03-13,Noosa,0.5091,331.7306
2023-03-13,Whitsunday,0.5476,367.5183
2023-03-13,Gold Coast,0.545,277.9964
2023-03-13,Cairns,0.5205,215.6701
2023-03-14,Noosa,0.4969,322.9567
2023-03-14,Cairns,0.5282,218.516
2023-03-14,Gold Coast,0.5426,275.9658
2023-03-14,Whitsunday,0.5393,366.0047
2023-03-15,Noosa,0.4991,331.9027
2023-03-15,Gold Coast,0.5499,277.4822
2023-03-15,Cairns,0.535,216.0334
2023-03-15,Whitsunday,0.5605,364.9079
2023-03-16,Cairns,0.5425,220.2067
2023-03-16,Gold Coast,0.5839,275.118
2023-03-16,Noosa,0.5417,328.6076
2023-03-16,Whitsunday,0.5797,363.0057
2023-03-17,Gold Coast,0.6424,307.7822
2023-03-17,Whitsunday,0.6433,354.2489
2023-03-17,Cairns,0.5552,220.4867
2023-03-17,Noosa,0.6108,339.3435
2023-03-18,Cairns,0.5637,224.7827
2023-03-18,Noosa,0.6285,339.3794
2023-03-18,Whitsunday,0.6309,347.3224
2023-03-18,Gold Coast,0.6744,314.808
2023-03-19,Noosa,0.5338,324.2801
2023-03-19,Whitsunday,0.5717,348.8801
2023-03-19,Gold Coast,0.5722,279.4501
2023-03-19,Cairns,0.538,219.1323
2023-03-20,Noosa,0.4993,328.4608
2023-03-20,Gold Coast,0.537,277.1109
2023-03-20,Cairns,0.5231,216.6758
