spend,cards_seen,no_txns,date,region,category
92853.08,1227,1469,10/06/2024,Whitsundays,BUSINESS TO BUSINESS
12906.484,63,70,10/06/2024,Whitsundays,AIRLINES/AIR CARRIERS
156488.36,2490,3144,10/06/2024,Whitsundays,TOURIST ATTRACTIONS
150327.08,1569,2026,10/06/2024,Whitsundays,ENTERTAINMENT
1421464.9,17600,29962,10/06/2024,Whitsundays,FUEL
1013613.8,14878,32947,10/06/2024,Whitsundays,RESTAURANTS
746065.1,3964,7160,9/01/2023,Whitsundays,HOME IMPROVEMENT & SUPPLY
145234.25,864,973,9/01/2023,Whitsundays,TRAVEL AGENCIES
31754.44,334,297,9/01/2023,Whitsundays,TELECOM
1314589.8,18293,24053,9/01/2023,Whitsundays,FUEL
791830.2,8127,10068,9/01/2023,Whitsundays,HEALTH CARE & DRUG STORE
624303.6,6705,10103,9/01/2023,Whitsundays,RETAIL STORES
1375602.4,14311,39301,9/01/2023,Whitsundays,RESTAURANTS
661866,6642,18317,9/01/2023,Whitsundays,BARS/TAVERNS/LOUNGES/DISCOS
305347.66,2687,3463,9/01/2023,Whitsundays,EDUCATION & GOVERNMENT
41701.777,114,160,9/01/2023,Whitsundays,VEHICLE RENTAL
198179.72,1644,2183,9/01/2023,Whitsundays,ENTERTAINMENT
171336.88,1933,3280,9/01/2023,Whitsundays,RETAIL SERVICES
148512.9,4937,5468,9/01/2023,Whitsundays,TRANSPORTATION
441930.8,6389,8150,9/01/2023,Whitsundays,DISCOUNT & VARIETY STORES
475778.56,6127,7982,9/01/2023,Whitsundays,AUTOMOTIVE
3534808.8,26370,67650,9/01/2023,Whitsundays,FOOD & GROCERY
59830.7,755,831,9/01/2023,Whitsundays,PROFESSIONAL SERVICES
210202.78,3325,4336,9/01/2023,Whitsundays,TOURIST ATTRACTIONS
74641.15,529,519,9/01/2023,Whitsundays,BUSINESS TO BUSINESS
511598.38,16982,25166,9/01/2023,Whitsundays,FAST FOOD RESTAURANTS
26833.338,263,372,9/01/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
505104.06,5910,7967,9/01/2023,Whitsundays,RETAIL GOODS
464074.3,6920,11032,9/01/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
2122720.2,11977,33547,9/01/2023,Whitsundays,HOTELS/MOTELS & RESORTS
498342.62,11814,22832,12/06/2023,Whitsundays,FAST FOOD RESTAURANTS
171510.42,1835,2515,12/06/2023,Whitsundays,RETAIL SERVICES
98953.33,1184,1575,12/06/2023,Whitsundays,BUSINESS TO BUSINESS
152642.88,685,1071,12/06/2023,Whitsundays,TRAVEL AGENCIES
613190.56,7531,10126,12/06/2023,Whitsundays,HEALTH CARE & DRUG STORE
342364.22,6985,6847,12/06/2023,Whitsundays,DISCOUNT & VARIETY STORES
126803.89,212,238,12/06/2023,Whitsundays,VEHICLE RENTAL
562328.94,8663,10744,12/06/2023,Whitsundays,PKG STORES/BEER/WINE/LIQUOR
182787.73,2632,4323,12/06/2023,Whitsundays,TOURIST ATTRACTIONS
294572.12,2597,3021,12/06/2023,Whitsundays,EDUCATION & GOVERNMENT
1388424.6,8722,23836,12/06/2023,Whitsundays,HOTELS/MOTELS & RESORTS
32437.629,914,1369,12/06/2023,Whitsundays,PROFESSIONAL SERVICES
30353.162,220,230,12/06/2023,Whitsundays,TELECOM
332849.78,5123,8167,12/06/2023,Whitsundays,AUTOMOTIVE
638285,4972,6631,12/06/2023,Whitsundays,RETAIL GOODS
66746.47,356,569,12/06/2023,Whitsundays,TRAILER PARKS AND CAMPGROUNDS
665208.4,5530,9652,12/06/2023,Whitsundays,RETAIL STORES
1560337.9,17574,30612,12/06/2023,Whitsundays,FUEL
