date,lga_name,average_historical_occupancy,average_daily_rate,date,lga_name,average_length_of_stay,average_booking_window,,
2023-01-27,Cairns,0.5343,217.2098,2023-01-27,Cairns,4.6682,25.8388,,1
2023-01-27,Gold Coast,0.6784,333.461,2023-01-27,Gold Coast,4.4122,46.5329,,1
2023-01-27,Noosa,0.6835,349.7366,2023-01-27,Noosa,3.6708,47.9686,,1
2023-01-27,Whitsunday,0.6295,333.0775,2023-01-27,Whitsunday,3.0144,50.3985,,1
2023-01-28,Cairns,0.5154,217.4798,2023-01-28,Cairns,4.5073,27.463,,1
2023-01-28,Gold Coast,0.644,328.3863,2023-01-28,Gold Coast,4.129,37.2322,,1
2023-01-28,Noosa,0.6452,350.3235,2023-01-28,Noosa,3.3073,47.4862,,1
2023-01-28,Whitsunday,0.6063,324.9824,2023-01-28,Whitsunday,3.4239,47.9347,,1
2023-01-29,Cairns,0.4794,209.7073,2023-01-29,Cairns,4.3793,33.6453,,1
2023-01-29,Gold Coast,0.5426,298.813,2023-01-29,Gold Coast,7.1195,44.4565,,1
2023-01-29,Noosa,0.4887,336.473,2023-01-29,Noosa,4.5992,42.3393,,1
2023-01-29,Whitsunday,0.5198,325.6592,2023-01-29,Whitsunday,5.25,45.08,,1
2023-01-30,Cairns,0.4804,209.4449,2023-01-30,Cairns,4.0333,23.45,,1
2023-01-30,Gold Coast,0.5195,290.3526,2023-01-30,Gold Coast,5.7358,37.9687,,1
2023-01-30,Noosa,0.4854,335.8047,2023-01-30,Noosa,5.4589,38.4538,,1
2023-01-30,Whitsunday,0.4829,327.0851,2023-01-30,Whitsunday,4.5537,43.4793,,1
2023-01-31,Cairns,0.4472,206.3025,2023-01-31,Cairns,4.5914,39.7682,,1
2023-01-31,Gold Coast,0.4929,284.7954,2023-01-31,Gold Coast,6.6553,40.3215,,1
2023-01-31,Noosa,0.4459,332.434,2023-01-31,Noosa,5.6828,42.9911,,1
2023-01-31,Whitsunday,0.4744,331.5614,2023-01-31,Whitsunday,3.7032,45.978,,1
2023-02-01,Cairns,0.4477,198.1144,2023-02-01,Cairns,19.2145,65.4327,,1
2023-02-01,Gold Coast,0.5032,272.9081,2023-02-01,Gold Coast,14.468,67.54,,1
2023-02-01,Noosa,0.463,324.0884,2023-02-01,Noosa,19.1823,84.6729,,1
2023-02-01,Whitsunday,0.4931,316.0719,2023-02-01,Whitsunday,11.1897,66.8029,,1
2023-02-02,Cairns,0.4547,202.2398,2023-02-02,Cairns,5.2265,29.5082,,1
2023-02-02,Gold Coast,0.5406,277.845,2023-02-02,Gold Coast,4.6961,42.5052,,1
2023-02-02,Noosa,0.5197,329.0126,2023-02-02,Noosa,4.1818,42.3939,,1
2023-02-02,Whitsunday,0.5113,329.2529,2023-02-02,Whitsunday,2.7904,61.2857,,1
2023-02-03,Cairns,0.4648,209.421,2023-02-03,Cairns,4.6298,35.7734,,1
2023-02-03,Gold Coast,0.5862,311.3567,2023-02-03,Gold Coast,4.31,40.4197,,1
2023-02-03,Noosa,0.569,345.9629,2023-02-03,Noosa,4.496,55.1122,,1
2023-02-03,Whitsunday,0.5689,339.0171,2023-02-03,Whitsunday,6.5,49.125,,1
2023-02-04,Cairns,0.4762,211.3566,2023-02-04,Cairns,6.0984,36.1658,,1
2023-02-04,Gold Coast,0.6185,314.4698,2023-02-04,Gold Coast,4.6393,41.1415,,1
2023-02-04,Noosa,0.6005,344.8831,2023-02-04,Noosa,4.3568,52.7095,,1
2023-02-04,Whitsunday,0.5735,344.0135,2023-02-04,Whitsunday,3.7739,40.626,,1
2023-02-05,Cairns,0.4893,209.2417,2023-02-05,Cairns,4.7488,33.9668,,1
2023-02-05,Gold Coast,0.56,283.2981,2023-02-05,Gold Coast,5.7704,37.662,,1
2023-02-05,Noosa,0.5437,332.3867,2023-02-05,Noosa,5.2671,40.6678,,1
2023-02-05,Whitsunday,0.508,337.5329,2023-02-05,Whitsunday,4.2068,40.7931,,1
2023-02-06,Cairns,0.4665,206.7086,2023-02-06,Cairns,6.0726,41.9608,,1
2023-02-06,Gold Coast,0.5356,280.708,2023-02-06,Gold Coast,5.2559,43.4812,,1
2023-02-06,Noosa,0.5254,333.1642,2023-02-06,Noosa,6.749,48.3764,,1
2023-02-06,Whitsunday,0.4873,340.388,2023-02-06,Whitsunday,4.8571,44.1696,,1
2023-02-07,Cairns,0.4821,206.8664,2023-02-07,Cairns,3.5027,23.5891,,1
2023-02-07,Gold Coast,0.5377,276.2275,2023-02-07,Gold Coast,4.721,35.364,,1
2023-02-07,Noosa,0.5185,327.6916,2023-02-07,Noosa,4.1878,36.6852,,1
2023-02-07,Whitsunday,0.4823,338.1967,2023-02-07,Whitsunday,4.2441,44.1395,,1
2023-02-08,Cairns,0.4873,207.5965,2023-02-08,Cairns,4.0108,29.827,,1
2023-02-08,Gold Coast,0.5444,275.0034,2023-02-08,Gold Coast,4.9701,37.4769,,1
2023-02-08,Noosa,0.5301,326.8538,2023-02-08,Noosa,3.9861,36.5944,,1
2023-02-08,Whitsunday,0.4857,342.2119,2023-02-08,Whitsunday,4.2842,42.0736,,1
2023-02-09,Cairns,0.4932,208.5683,2023-02-09,Cairns,3.8342,33.9834,,1
2023-02-09,Gold Coast,0.57,276.4569,2023-02-09,Gold Coast,4.5095,40.1847,,1
2023-02-09,Noosa,0.5523,331.5712,2023-02-09,Noosa,4.6058,32.9671,,1
2023-02-09,Whitsunday,0.5332,348.7739,2023-02-09,Whitsunday,3.864,48.408,,1
2023-02-10,Cairns,0.4923,213.9405,2023-02-10,Cairns,3.8038,40.9377,,1
2023-02-10,Gold Coast,0.638,312.1371,2023-02-10,Gold Coast,3.9594,36.9664,,1
2023-02-10,Noosa,0.6173,342.0471,2023-02-10,Noosa,3.2907,46.4066,,1
2023-02-10,Whitsunday,0.5892,344.7023,2023-02-10,Whitsunday,3.6326,48.7006,,1
2023-02-11,Cairns,0.5072,212.046,2023-02-11,Cairns,5,32.0154,,1
2023-02-11,Gold Coast,0.6688,313.8236,2023-02-11,Gold Coast,3.7004,38.9848,,1
2023-02-11,Noosa,0.6506,341.2357,2023-02-11,Noosa,3.6821,49.6785,,1
2023-02-11,Whitsunday,0.5961,341.7684,2023-02-11,Whitsunday,3.9166,51.6111,,1
2023-02-12,Cairns,0.5116,210.7068,2023-02-12,Cairns,4.8732,34.5868,,1
2023-02-12,Gold Coast,0.5962,283.3877,2023-02-12,Gold Coast,4.7099,42.6433,,1
2023-02-12,Noosa,0.5674,334.4434,2023-02-12,Noosa,4.2826,43.3079,,1
2023-02-12,Whitsunday,0.5498,340.2748,2023-02-12,Whitsunday,3.25,44.98,,1
2023-02-13,Cairns,0.5024,207.017,2023-02-13,Cairns,4.0052,34.746,,1
2023-02-13,Gold Coast,0.5679,274.7448,2023-02-13,Gold Coast,5.5,39.9498,,1
2023-02-13,Noosa,0.5362,329.5763,2023-02-13,Noosa,4.271,47.26,,1
2023-02-13,Whitsunday,0.536,336.1336,2023-02-13,Whitsunday,3.9674,34.6016,,1
2023-02-14,Cairns,0.5017,206.6187,2023-02-14,Cairns,4.3151,30.0909,,1
2023-02-14,Gold Coast,0.574,271.2948,2023-02-14,Gold Coast,4.0328,32.4021,,1
2023-02-14,Noosa,0.5333,324.8113,2023-02-14,Noosa,5.0506,34.2534,,1
2023-02-14,Whitsunday,0.5302,328.5467,2023-02-14,Whitsunday,2.9438,47.8314,,1
2023-02-15,Cairns,0.4918,208.8715,2023-02-15,Cairns,3.7173,42.7445,,1
2023-02-15,Gold Coast,0.5649,274.0116,2023-02-15,Gold Coast,4.9367,39.2309,,1
2023-02-15,Noosa,0.5345,327.0362,2023-02-15,Noosa,4.4638,51.9404,,1
2023-02-15,Whitsunday,0.5323,334.3264,2023-02-15,Whitsunday,3.4607,46.8921,,1
2023-02-16,Cairns,0.5027,211.5148,2023-02-16,Cairns,4.7846,37.3692,,1
2023-02-16,Gold Coast,0.6109,278.602,2023-02-16,Gold Coast,3.6916,34.7155,,1
2023-02-16,Noosa,0.5721,329.6109,2023-02-16,Noosa,3.1433,42.74,,1
2023-02-16,Whitsunday,0.5824,340.386,2023-02-16,Whitsunday,3.2553,38.7588,,1
2023-02-17,Cairns,0.511,213.2624,2023-02-17,Cairns,4.2,37.7181,,1
2023-02-17,Gold Coast,0.67,311.5968,2023-02-17,Gold Coast,3.3603,43.0593,,1
2023-02-17,Noosa,0.634,343.005,2023-02-17,Noosa,3.3288,47.4809,,1
