date,lga_name,average_length_of_stay,average_booking_window
2023-03-06,Noosa,4.977,45.4559
2023-03-06,Gold Coast,5.5733,40.3314
2023-03-06,Whitsunday,3.909,35.7
2023-03-07,Cairns,4.947,32.3862
2023-03-07,Gold Coast,5.4092,32.2758
2023-03-07,Whitsunday,3.1397,41.7204
2023-03-07,Noosa,4.9766,49.3084
2023-03-08,Noosa,4.0714,40.9705
2023-03-08,Gold Coast,4.107,36.9673
2023-03-08,Cairns,3.9903,32.9323
2023-03-08,Whitsunday,3.4747,48.707
2023-03-09,Cairns,5.7894,36.8866
2023-03-09,Noosa,3.3591,45.4252
2023-03-09,Whitsunday,3.6597,50.0763
2023-03-09,Gold Coast,3.7165,35.9291
2023-03-10,Gold Coast,2.8642,35.619
2023-03-10,Whitsunday,4.6511,58.2732
2023-03-10,Noosa,3.2181,43.6431
2023-03-10,Cairns,4.5105,30.9929
2023-03-11,Gold Coast,3.5872,34.0423
2023-03-11,Whitsunday,4.1418,53.2905
2023-03-11,Cairns,3.9013,31.3991
2023-03-11,Noosa,3.3958,42.2534
2023-03-12,Noosa,3.7418,41.3381
2023-03-12,Gold Coast,4.6312,38.3508
2023-03-12,Cairns,4.3955,25.8044
2023-03-12,Whitsunday,3.805,41.4745
2023-03-13,Noosa,5.5234,43.6534
2023-03-13,Whitsunday,3.7539,44.4682
2023-03-13,Gold Coast,4.5328,39.1418
2023-03-13,Cairns,5.8325,37.9909
2023-03-14,Noosa,4.8883,35.7589
2023-03-14,Cairns,4.1009,27.4471
2023-03-14,Gold Coast,4.8255,34.0066
2023-03-14,Whitsunday,3.0425,48.2234
2023-03-15,Noosa,3.852,44.6816
2023-03-15,Gold Coast,4.44,33.8613
2023-03-15,Cairns,8.033,41.5537
2023-03-15,Whitsunday,3.362,59.4051
2023-03-16,Cairns,4.3101,33.7916
2023-03-16,Gold Coast,3.9536,35.0126
2023-03-16,Noosa,3.6196,47.3036
2023-03-16,Whitsunday,3.4761,40.3095
2023-03-17,Gold Coast,3.2256,36.1885
2023-03-17,Whitsunday,3.4519,54.1299
2023-03-17,Cairns,4.0843,31.7552
2023-03-17,Noosa,2.9197,49.0195
2023-03-18,Cairns,4.533,32.533
2023-03-18,Noosa,4.8656,37.5298
2023-03-18,Whitsunday,3.2288,38.2118
2023-03-18,Gold Coast,3.9268,36.4189
2023-03-19,Noosa,3.4188,43.3584
2023-03-19,Whitsunday,5.0406,62.9512
2023-03-19,Gold Coast,4.199,33.596
2023-03-19,Cairns,6.9589,32.8769
2023-03-20,Noosa,5.4061,48.5823
2023-03-20,Gold Coast,4.9367,39.7505
2023-03-20,Cairns,8.0183,41.2752
2023-03-20,Whitsunday,7.2521,57.1008
2023-03-21,Noosa,4.3653,43.7019
2023-03-21,Cairns,6.3661,37.3278
2023-03-21,Gold Coast,4.2339,34.4456
2023-03-21,Whitsunday,4.6185,40.5979
2023-03-22,Whitsunday,3.438,59.5333
2023-03-22,Noosa,3.5302,45.572
2023-03-22,Cairns,7.3489,33.0156
2023-03-22,Gold Coast,4.0925,36.9644
2023-03-23,Cairns,3.493,34.9581
2023-03-23,Gold Coast,3.5431,43.9168
2023-03-23,Whitsunday,3.6594,62.2318
2023-03-23,Noosa,3.7604,58.3293
2023-03-24,Cairns,4.245,43.6521
2023-03-24,Whitsunday,3.3672,46.9378
2023-03-24,Noosa,3.0464,55.5464
2023-03-24,Gold Coast,3.0461,35.973
2023-03-25,Gold Coast,3.2384,31.6968
2023-03-25,Noosa,3.1263,43.2105
2023-03-25,Whitsunday,3.4958,49.9338
2023-03-25,Cairns,4.5603,34.0086
2023-03-26,Cairns,3.7414,41.439
2023-03-26,Noosa,3.3884,39.1576
2023-03-26,Gold Coast,4.4405,39.2064
2023-03-26,Whitsunday,3.1984,39.0555
2023-03-27,Gold Coast,3.9879,34.8016
2023-03-27,Cairns,4.2,36.715
2023-03-27,Noosa,3.5976,40.7171
2023-03-27,Whitsunday,3.5811,46.2735
2023-03-28,Noosa,3.7213,43.5174
2023-03-28,Gold Coast,4.3715,32.1804
2023-03-28,Cairns,4.0055,34.453
2023-03-28,Whitsunday,3.4545,44.0303
2023-03-29,Noosa,3.829,37.7521
2023-03-29,Whitsunday,3.3214,46.9285
2023-03-29,Gold Coast,3.8605,36.869
2023-03-29,Cairns,4.3265,34.4591
2023-03-30,Cairns,4.199,41.412
2023-03-30,Gold Coast,4.3449,41.1025
2023-03-30,Whitsunday,3.4571,64.5857
2023-03-30,Noosa,3.5218,58.2481
2023-03-31,Gold Coast,3.9954,45.8907
2023-03-31,Whitsunday,2.9391,74.331
2023-03-31,Noosa,4.5295,58.5185
2023-03-31,Cairns,4.9128,49.7916
2023-04-01,Noosa,6,85.8651
2023-04-01,Whitsunday,8,74.3072
2023-04-01,Cairns,9,56.5425
2023-04-01,Gold Coast,7.5428,61.1876
2023-04-02,Gold Coast,4.4708,39.5046
2023-04-02,Noosa,4.5932,48.1791
2023-04-02,Whitsunday,3.628,50.3388
2023-04-02,Cairns,4.44,35.236
2023-04-03,Cairns,4.3617,44.8794
2023-04-03,Gold Coast,4.4211,42.7312
2023-04-03,Whitsunday,4.3716,69.646
2023-04-03,Noosa,3.5474,50.4854
2023-04-04,Noosa,3.6372,44.0294
2023-04-04,Cairns,3.4305,38.9305
2023-04-04,Whitsunday,5.3716,71.8318
2023-04-04,Gold Coast,3.8611,38.2584
2023-04-05,Noosa,3.8344,62.5608
2023-04-05,Cairns,4.5147,61.4669
2023-04-05,Gold Coast,4.6597,45.3096
2023-04-05,Whitsunday,3.0078,90.3593
2023-04-06,Noosa,4.7074,74.2026
2023-04-06,Gold Coast,4.4444,57.5818
2023-04-06,Cairns,3.7338,56.0268
2023-04-06,Whitsunday,4.852,82.1071
2023-04-07,Cairns,4.3505,62.9952
2023-04-07,Whitsunday,4.5586,92.0234
2023-04-07,Noosa,3.9721,76.987
2023-04-07,Gold Coast,3.9133,54.5661
2023-04-08,Cairns,4.0032,59.355
2023-04-08,Noosa,5.3648,67.133
2023-04-08,Gold Coast,4.4414,61.3843
2023-04-08,Whitsunday,3.6796,87.3906
2023-04-09,Cairns,4.7518,48.5555
2023-04-09,Gold Coast,4.5983,47.4928
2023-04-09,Whitsunday,3.45,76.9
2023-04-09,Noosa,4.1479,55.7755
2023-04-10,Whitsunday,4.0867,64.289
2023-04-10,Cairns,4.8165,44.6654
2023-04-10,Gold Coast,6.0186,44.728
2023-04-10,Noosa,5.7762,60.9364
2023-04-11,Whitsunday,3.8484,63.3515
2023-04-11,Gold Coast,5.7196,51.0593
2023-04-11,Noosa,5.383,51.2236
2023-04-11,Cairns,5.9366,49.0633
2023-04-12,Noosa,4.4919,55.0291
2023-04-12,Gold Coast,6.117,43.663
2023-04-12,Cairns,4.6725,43.8169
2023-04-12,Whitsunday,5.2828,68.1513
2023-04-13,Whitsunday,3.9096,52.0709
2023-04-13,Cairns,3.823,40.6538
2023-04-13,Gold Coast,4.697,40.5921
2023-04-13,Noosa,4.8662,47.121
2023-04-14,Cairns,4.6245,44.2379
2023-04-14,Gold Coast,3.9857,45.239
2023-04-14,Noosa,5.2902,50.7335
2023-04-14,Whitsunday,3.7878,61.2727
2023-04-15,Cairns,4.2264,45.1849
2023-04-15,Whitsunday,5.76,65.7666
2023-04-15,Gold Coast,5.2201,46.4601
2023-04-15,Noosa,4.0483,53.1412
2023-04-16,Gold Coast,6.9657,51.0166
2023-04-16,Noosa,8.4482,54.6275
2023-04-16,Whitsunday,4.6048,52.887
2023-04-16,Cairns,5.5384,46.2307
2023-04-17,Whitsunday,7.3089,66.5203
2023-04-17,Cairns,5.3027,59.5782
2023-04-17,Noosa,7.1355,62.5018
2023-04-17,Gold Coast,6.7601,45.2181
2023-04-18,Cairns,4.5075,37.1859
2023-04-18,Noosa,5.3122,39.9565
2023-04-18,Whitsunday,4.1869,67.0373
2023-04-18,Gold Coast,5.2263,40.1476
2023-04-19,Whitsunday,4.0392,73.0392
2023-04-19,Noosa,4.5873,41.9365
2023-04-19,Gold Coast,7.4784,52.9426
2023-04-19,Cairns,4.2719,41.7949
2023-04-20,Noosa,4.3633,47.0588
2023-04-20,Cairns,4.0559,45.0373
2023-04-20,Gold Coast,4.4422,39.35
2023-04-20,Whitsunday,5.3642,50.9642
2023-04-21,Whitsunday,2.9378,65.6273
2023-04-21,Noosa,3.9707,49.1482
2023-04-21,Cairns,4.8035,39.1649
